task,window,seed,model,family,n_train,cost_bps,mean_active,sharpe,maxdd,hit
T-book,5,0,LIN,classical,400,0.0,0.0011820702746398522,1.747732741024065,-0.22365278637389657,0.5714285714285714
T-book,5,0,LIN,classical,400,5.0,0.0011185782111477881,1.6530117243957507,-0.22473611970722993,0.5714285714285714
T-book,5,0,RBF,classical,400,0.0,-0.0014701776069241587,-2.5129898984886694,-0.14200773111463183,0.4444444444444444
T-book,5,0,RBF,classical,400,5.0,-0.0017929289296754814,-3.0685404184507976,-0.1485077311146318,0.4126984126984127
T-book,5,0,QK,quantum,400,0.0,-0.003059002281550042,-5.797879038712876,-0.19868381386468958,0.38095238095238093
T-book,5,0,QK,quantum,400,5.0,-0.00334736206990983,-6.355795347866878,-0.21576714719802287,0.36507936507936506
T-book,5,0,VQC,quantum,400,0.0,-0.0008313349720339875,-1.578737974735177,-0.1428580902326126,0.49206349206349204
T-book,5,0,VQC,quantum,400,5.0,-0.0010773667180657336,-2.045022147152218,-0.14827475689927927,0.47619047619047616
T-book,5,1,LIN,classical,400,0.0,0.0026816012513104824,3.628082676838727,-0.1377456402337936,0.5873015873015873
T-book,5,1,LIN,classical,400,5.0,0.002569167388876621,3.480124072619173,-0.13907897356712695,0.5873015873015873
T-book,5,1,RBF,classical,400,0.0,-0.00010598306327977639,-0.1491378525029487,-0.12729675763528636,0.47619047619047616
T-book,5,1,RBF,classical,400,5.0,-0.0003255597828564958,-0.45737894859081574,-0.12971342430195304,0.4603174603174603
T-book,5,1,QK,quantum,400,0.0,-0.001456525758719241,-2.4923402635802026,-0.16236106136025485,0.4444444444444444
T-book,5,1,QK,quantum,400,5.0,-0.0017276897798832625,-2.9623006195005313,-0.1665277280269215,0.4444444444444444
T-book,5,1,VQC,quantum,400,0.0,0.0022472550116221955,3.338084866752437,-0.13669050874202704,0.6190476190476191
T-book,5,1,VQC,quantum,400,5.0,0.0020673608317280153,3.070341535631833,-0.13827384207536042,0.6190476190476191
T-book,5,2,LIN,classical,400,0.0,0.005091556090239065,8.747373317563753,-0.05849067912094266,0.7301587301587301
T-book,5,2,LIN,classical,400,5.0,0.0048613973600803335,8.371063251381344,-0.059490679120942636,0.7142857142857143
T-book,5,2,RBF,classical,400,0.0,0.001018361148279123,1.4412626936705168,-0.14563519990474594,0.5714285714285714
T-book,5,2,RBF,classical,400,5.0,0.000723387603305578,1.023648566983644,-0.15021853323807932,0.5714285714285714
T-book,5,2,QK,quantum,400,0.0,-0.0009810839230276977,-1.979776833376925,-0.12594131335919448,0.5238095238095238
T-book,5,2,QK,quantum,400,5.0,-0.0012800257219694972,-2.591566972047929,-0.13790533210915767,0.42857142857142855
T-book,5,2,VQC,quantum,400,0.0,0.0031170560494526494,4.697846265666546,-0.0616716653228252,0.6507936507936508
T-book,5,2,VQC,quantum,400,5.0,0.0028591195415161416,4.300342914871648,-0.06350118604997315,0.6507936507936508
T-book,6,0,LIN,classical,400,0.0,0.004519098694358438,11.562854181455513,-0.020408896673326765,0.7619047619047619
T-book,6,0,LIN,classical,400,5.0,0.004224125149384894,10.757895067776118,-0.021825563339993442,0.7619047619047619
T-book,6,0,RBF,classical,400,0.0,0.003813401121024527,9.891313458252819,-0.018184555603180858,0.7301587301587301
