task,window,seed,model,family,n_train,reference,auc,brier,acc,auc_calm,auc_stress,wall_s
T-class,3,0,RBF,classical,400,False,0.8025638271207076,0.1807758408083855,0.7182539682539683,0.8099192988081878,0.5756944444444444,0.012561798095703125
T-class,3,0,QK,quantum,400,False,0.7881512514770652,0.1905882026372825,0.716931216931217,0.788584255250922,0.6342013888888889,0.07979869842529297
T-class,3,0,VQC,quantum,400,False,0.7836645540158269,0.18736836355287245,0.7129629629629629,0.7880177435732991,0.5909722222222222,0.924593448638916
T-class,3,0,LIN,classical,full,True,0.8094747019013857,0.17854340633059612,0.7447089947089947,0.8165036609481054,0.5809027777777778,0.008583784103393555
T-class,3,0,RBF,classical,full,True,0.8147097790668528,0.1778908880814219,0.7328042328042328,0.8209823098711988,0.6152777777777778,0.06568670272827148
T-class,3,1,LIN,classical,150,False,0.773208722741433,0.19199185150288467,0.6944444444444444,0.7829725829725829,0.5409722222222222,0.0035309791564941406
T-class,3,1,RBF,classical,150,False,0.7551258638593477,0.20751412937013736,0.6666666666666666,0.7636791192346748,0.5447916666666668,0.005091428756713867
T-class,3,1,QK,quantum,150,False,0.6866544920686075,0.22292235326580714,0.6349206349206349,0.6890385334829778,0.534375,0.025502920150756836
T-class,3,1,VQC,quantum,150,False,0.7763597951802914,0.19081363352356534,0.6984126984126984,0.7786328897440009,0.570486111111111,0.9418063163757324
T-class,3,1,LIN,classical,400,False,0.8049557775629319,0.17884732855897453,0.7288359788359788,0.8126449682005238,0.579861111111111,0.003998517990112305
T-class,3,1,RBF,classical,400,False,0.791484942886812,0.18592046685771738,0.708994708994709,0.7996846774624553,0.5770833333333334,0.01666855812072754
T-class,3,1,QK,quantum,400,False,0.7686539907616285,0.1953160914746678,0.6970899470899471,0.7689594356261023,0.6229166666666667,0.1048893928527832
T-class,3,1,VQC,quantum,400,False,0.7764242489347226,0.19270388119663828,0.708994708994709,0.7831542942654054,0.5760416666666666,0.9242663383483887
T-class,3,1,LIN,classical,full,True,0.8094747019013857,0.17854340633059612,0.7447089947089947,0.8165036609481054,0.5809027777777778,0.008669376373291016
T-class,3,1,RBF,classical,full,True,0.7943746195438105,0.18475532818064497,0.7208994708994709,0.8007268451712897,0.6010416666666667,0.08045506477355957
T-class,3,2,LIN,classical,150,False,0.823339420632363,0.17421094039763615,0.7407407407407407,0.8277804500026723,0.5982638888888889,0.02475905418395996
T-class,3,2,RBF,classical,150,False,0.8307945715615712,0.17665089030081685,0.7380952380952381,0.835369568702902,0.6461805555555555,0.009163618087768555
T-class,3,2,QK,quantum,150,False,0.815579904751674,0.20138173610386487,0.7275132275132276,0.8142696809363477,0.7045138888888889,0.054468393325805664
T-class,3,2,VQC,quantum,150,False,0.8414938947971498,0.1668095950963004,0.7738095238095238,0.8452674897119341,0.6479166666666667,0.8920004367828369
T-class,3,2,LIN,classical,400,False,0.8019121280481255,0.18032656302529754,0.7301587301587301,0.8095879429212762,0.5826388888888888,0.003838062286376953
T-class,3,2,RBF,classical,400,False,0.8223475489669495,0.17679823197045308,0.7407407407407407,0.8294906739351183,0.6065972222222221,0.01304006576538086
T-class,3,2,QK,quantum,400,False,0.8049450352705267,0.18988539963880538,0.7116402116402116,0.8064988509432954,0.6444444444444444,0.08330225944519043
T-class,3,2,VQC,quantum,400,False,0.8182905432019194,0.17670094055292054,0.7248677248677249,0.8217625995403774,0.5875,0.8910598754882812
T-class,3,2,LIN,classical,full,True,0.8094747019013857,0.17854340633059612,0.7447089947089947,0.8165036609481054,0.5809027777777778,0.008432388305664062
T-class,3,2,RBF,classical,full,True,0.8119955598524724,0.17838162216691988,0.7328042328042328,0.8198065309176421,0.5788194444444444,0.1128542423248291
T-class,4,0,LIN,classical,150,False,0.7029787685131902,0.2066207278302043,0.6917989417989417,0.7029787685131902,,0.021488666534423828
T-class,4,0,RBF,classical,150,False,0.6881720023018445,0.2127670638478277,0.6587301587301587,0.6881720023018445,,0.0056493282318115234
T-class,4,0,QK,quantum,150,False,0.6556546627494927,0.223127019833616,0.6375661375661376,0.6556546627494927,,0.022805213928222656
T-class,4,0,VQC,quantum,150,False,0.661197262016537,0.21787032530844797,0.6574074074074074,0.661197262016537,,0.8867833614349365
T-class,4,0,LIN,classical,400,False,0.7073780173849835,0.20470556564997963,0.6904761904761905,0.7073780173849835,,0.004396915435791016
T-class,4,0,RBF,classical,400,False,0.6887739649271588,0.21170054411955005,0.6772486772486772,0.6887739649271588,,0.013935565948486328
T-class,4,0,QK,quantum,400,False,0.6405488081897204,0.2257003600035821,0.6613756613756614,0.6405488081897204,,0.07781839370727539
T-class,4,0,VQC,quantum,400,False,0.6644910197776903,0.21949394652210888,0.6574074074074074,0.6644910197776903,,0.8970763683319092
T-class,4,0,LIN,classical,full,True,0.7048414453160493,0.20667771611363264,0.6865079365079365,0.7048414453160493,,0.007961034774780273
T-class,4,0,RBF,classical,full,True,0.7069312778265743,0.2059941712976335,0.6917989417989417,0.7069312778265743,,0.0717477798461914
T-class,4,1,LIN,classical,150,False,0.707786897658782,0.20722777859354985,0.6891534391534392,0.707786897658782,,0.006356000900268555
T-class,4,1,RBF,classical,150,False,0.6968531362631372,0.2110899611215739,0.6772486772486772,0.6968531362631372,,0.004912376403808594
T-class,4,1,QK,quantum,150,False,0.648120665111912,0.23494397663570665,0.6031746031746031,0.648120665111912,,0.023458480834960938
T-class,4,1,VQC,quantum,150,False,0.6822773116879184,0.2205355461872073,0.6428571428571429,0.6822773116879184,,0.861152172088623
T-class,4,1,LIN,classical,400,False,0.6997228700366478,0.2082502577043074,0.6865079365079365,0.6997228700366478,,0.003715991973876953
T-class,4,1,RBF,classical,400,False,0.6998137323197141,0.20798258609926557,0.6851851851851852,0.6998137323197141,,0.017049312591552734
T-class,4,1,QK,quantum,400,False,0.6644153012084684,0.2178403396690421,0.671957671957672,0.6644153012084684,,0.07620501518249512
T-class,4,1,VQC,quantum,400,False,0.6934079413635401,0.2094224769796102,0.6746031746031746,0.6934079413635401,,0.892183780670166
T-class,4,1,LIN,classical,full,True,0.7048414453160493,0.20667771611363264,0.6865079365079365,0.7048414453160493,,0.007840156555175781
T-class,4,1,RBF,classical,full,True,0.6775524729684708,0.21186136649983167,0.6944444444444444,0.6775524729684708,,0.03909897804260254
T-class,4,2,LIN,classical,150,False,0.6935518066450617,0.21307582387610752,0.6812169312169312,0.6935518066450617,,0.008291006088256836
T-class,4,2,RBF,classical,150,False,0.687005936335827,0.2188167635264274,0.6706349206349206,0.687005936335827,,0.004560232162475586
T-class,4,2,QK,quantum,150,False,0.6721878123390981,0.2398990950060431,0.6931216931216931,0.6721878123390981,,0.02299785614013672
T-class,4,2,VQC,quantum,150,False,0.6885695247902596,0.21355741301476688,0.6574074074074074,0.6885695247902596,,0.8557250499725342
T-class,4,2,LIN,classical,400,False,0.6959066541478632,0.21227431304872973,0.6891534391534392,0.6959066541478632,,0.003950357437133789
T-class,4,2,RBF,classical,400,False,0.700480055728867,0.21433581614745056,0.656084656084656,0.700480055728867,,0.01132059097290039
T-class,4,2,QK,quantum,400,False,0.6805054971681255,0.21923832026745546,0.6468253968253969,0.6805054971681255,,0.0783700942993164
T-class,4,2,VQC,quantum,400,False,0.6943468516218918,0.21932264226133089,0.6455026455026455,0.6943468516218918,,0.8660867214202881
T-class,4,2,LIN,classical,full,True,0.7048414453160493,0.20667771611363264,0.6865079365079365,0.7048414453160493,,0.00774073600769043
T-class,4,2,RBF,classical,full,True,0.7041675500499742,0.20753833499232427,0.6917989417989417,0.7041675500499742,,0.04371309280395508
T-class,5,0,LIN,classical,150,False,0.6386184210526316,0.23438304541710883,0.6124338624338624,0.6366379310344829,0.5875,0.020379304885864258
T-class,5,0,RBF,classical,150,False,0.6872733918128655,0.22102624319028957,0.6309523809523809,0.5614224137931034,0.5930404974489796,0.005099773406982422
T-class,5,0,QK,quantum,150,False,0.6251900584795321,0.23460672105839223,0.5952380952380952,0.327801724137931,0.5585618622448979,0.02451777458190918
T-class,5,0,VQC,quantum,150,False,0.6761038011695906,0.22619345585798464,0.6468253968253969,0.5489224137931035,0.5952646683673469,0.8823699951171875
T-class,5,0,LIN,classical,400,False,0.7147587719298245,0.21772185627643362,0.6521164021164021,0.7060344827586209,0.5916135204081632,0.003589630126953125
T-class,5,0,RBF,classical,400,False,0.7290570175438595,0.21212137005918538,0.6613756613756614,0.6336206896551724,0.5908641581632654,0.012838602066040039
T-class,5,0,QK,quantum,400,False,0.7015131578947369,0.22074972635465714,0.6402116402116402,0.409698275862069,0.6,0.07849264144897461
T-class,5,0,VQC,quantum,400,False,0.701140350877193,0.22068173594867102,0.66005291005291,0.6808189655172414,0.5845503826530613,0.8624656200408936
T-class,5,0,LIN,classical,full,True,0.7294956140350878,0.21375837360903982,0.6534391534391535,0.7275862068965517,0.6023596938775511,0.007664918899536133
T-class,5,0,RBF,classical,full,True,0.7195760233918129,0.21853595885149285,0.6626984126984127,0.6079741379310345,0.5966039540816326,0.06271743774414062
T-class,5,1,LIN,classical,150,False,0.7192982456140351,0.21577804309350548,0.66005291005291,0.6601293103448276,0.6010044642857143,0.02056407928466797
T-class,5,1,RBF,classical,150,False,0.6923245614035087,0.22039285474549627,0.6283068783068783,0.47435344827586207,0.5803810586734695,0.0049092769622802734
T-class,5,1,QK,quantum,150,False,0.6268347953216373,0.23007002176117347,0.6190476190476191,0.3043103448275862,0.5377790178571429,0.02442336082458496
T-class,5,1,VQC,quantum,150,False,0.6841374269005848,0.22532777450559777,0.6362433862433863,0.46961206896551727,0.5778698979591836,0.8838272094726562
T-class,5,1,LIN,classical,400,False,0.7258479532163742,0.21696768526607127,0.6613756613756614,0.6719827586206897,0.6005102040816327,0.0038182735443115234
T-class,5,1,RBF,classical,400,False,0.7047551169590642,0.22494143984057088,0.6428571428571429,0.4894396551724137,0.5956473214285714,0.010591745376586914
T-class,5,1,QK,quantum,400,False,0.655032894736842,0.22988120308893,0.6362433862433863,0.33469827586206896,0.553954081632653,0.07892251014709473
T-class,5,1,VQC,quantum,400,False,0.7026754385964912,0.22506897421414748,0.6494708994708994,0.49202586206896554,0.5892059948979593,0.8856496810913086
T-class,5,1,LIN,classical,full,True,0.7294956140350878,0.21375837360903982,0.6534391534391535,0.7275862068965517,0.6023596938775511,0.008095264434814453
T-class,5,1,RBF,classical,full,True,0.7239656432748538,0.21362683828258344,0.6534391534391535,0.6359913793103449,0.5984295280612245,0.07091784477233887
T-class,5,2,LIN,classical,150,False,0.7322953216374269,0.20939159951274486,0.6494708994708994,0.7381465517241379,0.6041135204081632,0.01804804801940918
T-class,5,2,RBF,classical,150,False,0.6908260233918129,0.21967298277633932,0.6349206349206349,0.5633620689655173,0.5798788265306122,0.005051851272583008
T-class,5,2,QK,quantum,150,False,0.6271125730994151,0.23247227798435946,0.6044973544973545,0.45840517241379314,0.528077168367347,0.024591684341430664
T-class,5,2,VQC,quantum,150,False,0.6758406432748538,0.22545073644273242,0.6375661375661376,0.5625,0.5814094387755102,0.8706858158111572
T-class,5,2,LIN,classical,400,False,0.7235891812865497,0.2140352660124996,0.6521164021164021,0.7213362068965518,0.6013711734693877,0.003583669662475586
T-class,5,2,RBF,classical,400,False,0.7080116959064329,0.21910880478598255,0.6455026455026455,0.5950431034482759,0.5907445790816326,0.012978076934814453
T-class,5,2,QK,quantum,400,False,0.6686951754385965,0.22560170044359132,0.6468253968253969,0.5385775862068966,0.5605229591836735,0.08167266845703125
T-class,5,2,VQC,quantum,400,False,0.6885380116959066,0.22639440190789573,0.6574074074074074,0.6282327586206897,0.5913424744897959,0.8709325790405273
T-class,5,2,LIN,classical,full,True,0.7294956140350878,0.21375837360903982,0.6534391534391535,0.7275862068965517,0.6023596938775511,0.0088653564453125
T-class,5,2,RBF,classical,full,True,0.7344883040935672,0.20973920952114158,0.6613756613756614,0.6012931034482758,0.6126116071428572,0.06976485252380371
T-class,6,0,LIN,classical,150,False,0.7215601757944557,0.21646842068349365,0.6732804232804233,0.6346574609811835,0.7672519704386943,0.03507399559020996
T-class,6,0,RBF,classical,150,False,0.7175033806626099,0.21647970506219416,0.6653439153439153,0.6373316477852871,0.7590772487572532,0.006682872772216797
T-class,6,0,QK,quantum,150,False,0.6847602546765832,0.22887300204666716,0.6309523809523809,0.6212865269606651,0.7183170468936058,0.023531436920166016
T-class,6,0,VQC,quantum,150,False,0.7213066260987154,0.21828408456335263,0.6574074074074074,0.6394223756503137,0.7661746082748975,0.8815617561340332
T-class,6,0,LIN,classical,400,False,0.7172427879197656,0.21792658575832435,0.6759259259259259,0.6232313900909223,0.765210652654658,0.0039577484130859375
T-class,6,0,RBF,classical,400,False,0.7209333446022087,0.2142636070992751,0.6746031746031746,0.6351922983420042,0.7662407620919727,0.01323390007019043
T-class,6,0,QK,quantum,400,False,0.6947226448050483,0.2219175435735694,0.6521164021164021,0.6190985559391257,0.7359423138715103,0.07668447494506836
T-class,6,0,VQC,quantum,400,False,0.7240604575163399,0.21600503559628711,0.6851851851851852,0.6405892935284679,0.7708053754701647,0.8771388530731201
T-class,6,0,LIN,classical,full,True,0.7059668695064233,0.22059125966460763,0.6693121693121693,0.6087907813487625,0.7551741735498139,0.008626699447631836
T-class,6,0,RBF,classical,full,True,0.7191303245436105,0.21366950000102675,0.6798941798941799,0.6264890358341033,0.7657209821006673,0.11220550537109375
T-class,6,1,LIN,classical,150,False,0.691331417624521,0.22755575307632292,0.6441798941798942,0.592453931054602,0.7399776967131003,0.015900373458862305
T-class,6,1,RBF,classical,150,False,0.6732624802794681,0.23287147769798083,0.6177248677248677,0.5881266105897797,0.7143289167784981,0.014816999435424805
T-class,6,1,QK,quantum,150,False,0.6032369844489519,0.25054853404376426,0.5595238095238095,0.5499100500802256,0.624123461923753,0.048423051834106445
