task,window,seed,model,family,n_train,reference,ic_spearman,ic_pearson,rmse,wall_s
T-reg,4,2,RBF,classical,150,False,0.21922777993709783,0.18885743760709897,0.030940301306448374,0.013212203979492188
T-reg,4,2,QK,quantum,150,False,0.13979921239669113,0.12283793227183037,0.03163142248429353,0.04661130905151367
T-reg,4,2,VQC,quantum,150,False,0.21258826654646684,0.15368555198645353,0.031962663575125144,0.9044075012207031
T-reg,4,2,LIN,classical,400,False,0.281424168082028,0.251073057267955,0.0296412905007257,0.0007991790771484375
T-reg,4,2,RBF,classical,400,False,0.2109024416424663,0.215840091711785,0.030032432710120224,0.11919403076171875
T-reg,4,2,QK,quantum,400,False,0.11235190779050735,0.10671237070548624,0.03143748926295818,0.17196297645568848
T-reg,4,2,VQC,quantum,400,False,0.30351002681306166,0.3026661138149557,0.02917582425667996,0.8405544757843018
T-reg,4,2,LIN,classical,full,True,0.28614664963095066,0.23891299186951528,0.030248967264755646,0.0
T-reg,4,2,RBF,classical,full,True,0.2794918057622879,0.27865223758251206,0.030056118061812753,0.0
T-reg,5,0,LIN,classical,150,False,0.23177224908527455,0.18287945740378725,0.041660614631363835,0.0007829666137695312
T-reg,5,0,RBF,classical,150,False,0.29458313389131274,0.26268074202194763,0.03943501155814301,0.008318185806274414
T-reg,5,0,QK,quantum,150,False,0.15610062070383837,0.12008587824045204,0.04067019110978126,0.13626909255981445
T-reg,5,0,VQC,quantum,150,False,0.2133707319234015,0.21718451425487625,0.04043326916424175,0.8625304698944092
T-reg,5,0,LIN,classical,400,False,0.24501072786304665,0.21194545007391788,0.041434429479735836,0.0007605552673339844
T-reg,5,0,RBF,classical,400,False,0.3213682840459854,0.28210244620695896,0.039597862504996965,0.13054442405700684
T-reg,5,0,QK,quantum,400,False,0.23002743516797772,0.20223378449401003,0.04038159553242297,0.14777565002441406
T-reg,5,0,VQC,quantum,400,False,0.3089070216227783,0.29081079888249534,0.03972015380763296,0.8785009384155273
T-reg,5,0,LIN,classical,full,True,0.24737334338146186,0.22843212899910093,0.040106060844600354,0.0
T-reg,5,0,RBF,classical,full,True,0.30018303535410973,0.26753880571734084,0.03980228393086726,0.0
T-reg,5,1,LIN,classical,150,False,0.2178553688819902,0.20790318425250992,0.04019063994357874,0.0007772445678710938
T-reg,5,1,RBF,classical,150,False,0.23033759962207037,0.18678295481041152,0.04078700161850959,0.0021114349365234375
T-reg,5,1,QK,quantum,150,False,0.15693060500815056,0.1572120117266779,0.04034084838255741,0.12677240371704102
T-reg,5,1,VQC,quantum,150,False,0.21145808815330364,0.2071487304320804,0.04035004212784311,0.8933539390563965
T-reg,5,1,LIN,classical,400,False,0.2571606871553506,0.2581871852664641,0.03994499769597036,0.0007607936859130859
T-reg,5,1,RBF,classical,400,False,0.3140480641036163,0.28309549273555185,0.039306827194316496,0.11620187759399414
T-reg,5,1,QK,quantum,400,False,0.25625199528809983,0.23344476035169814,0.0397725228217737,0.15450263023376465
T-reg,5,1,VQC,quantum,400,False,0.21944529498047655,0.16109548894747525,0.04190568149727086,0.8601641654968262
T-reg,5,1,LIN,classical,full,True,0.24737334338146186,0.22843212899910093,0.040106060844600354,0.0
T-reg,5,1,RBF,classical,full,True,0.2801264931073254,0.23267936584963828,0.04025319333132444,0.0
T-reg,5,2,LIN,classical,150,False,0.2567405154123378,0.23546423417358778,0.03957544658866475,0.0007452964782714844
T-reg,5,2,RBF,classical,150,False,0.2976609217644325,0.24248301796391153,0.039485229804667205,0.03303384780883789
T-reg,5,2,QK,quantum,150,False,0.24570515408171895,0.2191833906686253,0.03967508787787204,0.06279301643371582
T-reg,5,2,VQC,quantum,150,False,0.21408698740970608,0.14463219917427528,0.041412741107056256,0.9283442497253418
T-reg,5,2,LIN,classical,400,False,0.2226108998310176,0.164689774947276,0.041011714426191975,0.0007522106170654297
T-reg,5,2,RBF,classical,400,False,0.25510023758075057,0.21025047856256282,0.040049412928123244,0.12262558937072754
T-reg,5,2,QK,quantum,400,False,0.2346687651647103,0.19891698933271193,0.04000594941566681,0.17430758476257324
T-reg,5,2,VQC,quantum,400,False,0.23061299277454017,0.1577126066586377,0.0409417428530821,0.8894424438476562
T-reg,5,2,LIN,classical,full,True,0.24737334338146186,0.22843212899910093,0.040106060844600354,0.0
T-reg,5,2,RBF,classical,full,True,0.26778762455492666,0.23627354922832897,0.04019071165270414,0.0
T-reg,6,0,LIN,classical,150,False,0.26082425481587385,0.2934715245732324,0.03059195467631882,0.004911184310913086
T-reg,6,0,RBF,classical,150,False,0.2445176530315673,0.2799836611314701,0.030127908413696322,0.04090619087219238
T-reg,6,0,QK,quantum,150,False,0.15014370240209426,0.15899165847158708,0.031249014914022478,0.12581586837768555
T-reg,6,0,VQC,quantum,150,False,0.16866861324856022,0.22759117544608637,0.032312578973713535,0.9208681583404541
T-reg,6,0,LIN,classical,400,False,0.26884673285156196,0.25164317289601934,0.030242707041348064,0.0007300376892089844
T-reg,6,0,RBF,classical,400,False,0.291691533562985,0.2644528141064676,0.029665035247639658,0.11913132667541504
T-reg,6,0,QK,quantum,400,False,0.16235278957072025,0.13977276620484128,0.03091775834895788,0.16887259483337402
T-reg,6,0,VQC,quantum,400,False,0.24380453584964246,0.17926310325528208,0.03110276848795391,0.8969945907592773
T-reg,6,0,LIN,classical,full,True,0.27976942072316807,0.2855404564500649,0.029541945919682858,0.0
T-reg,6,0,RBF,classical,full,True,0.28780800686983166,0.26426834282871475,0.029576880898857887,0.0
T-reg,6,1,LIN,classical,150,False,0.11104631762334265,0.04828497088698043,0.03218080936854373,0.000850677490234375
T-reg,6,1,RBF,classical,150,False,0.1104312932827372,0.04762166166300056,0.03183234740208033,0.002115964889526367
T-reg,6,1,QK,quantum,150,False,0.0037061430641876286,-0.007341989901299089,0.03209402330789919,0.12625765800476074
T-reg,6,1,VQC,quantum,150,False,-0.036533556736169,-0.10947294383903929,0.03350181653617751,0.874981164932251
T-reg,6,1,LIN,classical,400,False,0.28098988785560913,0.29437641295616906,0.029486338248870755,0.0007586479187011719
T-reg,6,1,RBF,classical,400,False,0.20333665632553716,0.21205196247606664,0.030405338890847695,0.11606144905090332
T-reg,6,1,QK,quantum,400,False,0.08538343066937117,0.1086783725786174,0.03172132414239663,0.1678769588470459
T-reg,6,1,VQC,quantum,400,False,0.21809529641770886,0.23676134645990068,0.030252257131185654,0.8459415435791016
T-reg,6,1,LIN,classical,full,True,0.27976942072316807,0.2855404564500649,0.029541945919682858,0.0
T-reg,6,1,RBF,classical,full,True,0.26983279919670516,0.25500146500630133,0.029667314573450648,0.0
T-reg,6,2,LIN,classical,150,False,0.2606618406210732,0.2926479009788609,0.02937608413573861,0.0007584095001220703
T-reg,6,2,RBF,classical,150,False,0.24997608084383174,0.22742477511229606,0.029959337518261756,0.002151012420654297
T-reg,6,2,QK,quantum,150,False,0.15406744382747603,0.14472801927012965,0.03106653344607597,0.0704646110534668
T-reg,6,2,VQC,quantum,150,False,0.17151291683035144,0.1576898509384184,0.031132891618334425,0.8429849147796631
T-reg,6,2,LIN,classical,400,False,0.2808283623841726,0.2828323167813627,0.030152868655874108,0.0007760524749755859
T-reg,6,2,RBF,classical,400,False,0.297978307095859,0.26459312322865697,0.029606727031050495,0.011206388473510742
T-reg,6,2,QK,quantum,400,False,0.14838269705600665,0.14046068454766364,0.031071304858386863,0.1514568328857422
T-reg,6,2,VQC,quantum,400,False,0.2017039881877556,0.18885170691181077,0.03054672915922383,0.8573577404022217
T-reg,6,2,LIN,classical,full,True,0.27976942072316807,0.2855404564500649,0.029541945919682858,0.0
T-reg,6,2,RBF,classical,full,True,0.25012155374950307,0.25747233988029833,0.029549419964384177,0.0
T-reg,7,0,LIN,classical,150,False,0.42250253112580005,0.4340472529509604,0.03132100040523084,0.0008029937744140625
T-reg,7,0,RBF,classical,150,False,0.3809176374233632,0.376179562019428,0.03219762504708812,0.06043291091918945
T-reg,7,0,QK,quantum,150,False,0.2900677804314502,0.2792059048801028,0.03331735747300746,0.024960756301879883
T-reg,7,0,VQC,quantum,150,False,0.3048033137161537,0.20635078107943305,0.03471890807504711,0.9045226573944092
T-reg,7,0,LIN,classical,400,False,0.4289316670325708,0.45222226499099133,0.030921601463280445,0.0007386207580566406
T-reg,7,0,RBF,classical,400,False,0.45186561780646134,0.43130991949256126,0.031316642349580835,0.009668588638305664
T-reg,7,0,QK,quantum,400,False,0.3429193257200291,0.3231558702311918,0.03289891826586122,0.1526165008544922
T-reg,7,0,VQC,quantum,400,False,0.4578520861600638,0.4307502818168706,0.03131262515862965,0.858588695526123
T-reg,7,0,LIN,classical,full,True,0.42912835262210186,0.4488474017167891,0.03101409323096181,0.0
T-reg,7,0,RBF,classical,full,True,0.4104928234894029,0.40603098261652104,0.03190690321280738,0.0
T-reg,7,1,LIN,classical,150,False,0.36045617059378243,0.3954632989139643,0.03179798556440484,0.0007560253143310547
T-reg,7,1,RBF,classical,150,False,0.22746835624087236,0.20402117278531315,0.03425801502218337,0.002157449722290039
T-reg,7,1,QK,quantum,150,False,0.17110971414907306,0.11897708442910342,0.03526147897931158,0.1266307830810547
T-reg,7,1,VQC,quantum,150,False,0.049699021335054126,0.029930196681420357,0.03824443888793355,0.8740427494049072
T-reg,7,1,LIN,classical,400,False,0.4065660548500619,0.4362713236225381,0.031218763521479287,0.0007722377777099609
T-reg,7,1,RBF,classical,400,False,0.3616243141381585,0.360011380960311,0.032303444739846095,0.13619303703308105
T-reg,7,1,QK,quantum,400,False,0.28581340614199496,0.28580697293263885,0.03329013911430418,0.15624713897705078
T-reg,7,1,VQC,quantum,400,False,0.33674880831222964,0.3123721957941627,0.03305994028241113,0.9128124713897705
T-reg,7,1,LIN,classical,full,True,0.42912835262210186,0.4488474017167891,0.03101409323096181,0.0
T-reg,7,1,RBF,classical,full,True,0.3527759621437174,0.36748247770623793,0.03221543250491838,0.0
T-reg,7,2,LIN,classical,150,False,0.4140488556228624,0.4305303591999214,0.03130176708217366,0.00075531005859375
T-reg,7,2,RBF,classical,150,False,0.35010012718464517,0.3535592895740032,0.03242142638945734,0.005396842956542969
T-reg,7,2,QK,quantum,150,False,0.23229776231954577,0.20263931061461435,0.03445384821059363,0.11446762084960938
T-reg,7,2,VQC,quantum,150,False,0.3517049671720865,0.39362607226589574,0.03196347152058315,0.8963546752929688
T-reg,7,2,LIN,classical,400,False,0.42770328470766766,0.4427216354329066,0.031062885057919393,0.0007503032684326172
T-reg,7,2,RBF,classical,400,False,0.4335247004689821,0.4171302262467573,0.03147822072787168,0.0632634162902832
T-reg,7,2,QK,quantum,400,False,0.27807218127845906,0.28105127352648357,0.033455488311253535,0.15547561645507812
T-reg,7,2,VQC,quantum,400,False,0.41413067371757567,0.39651244919648365,0.03231790984585061,0.8878934383392334
T-reg,7,2,LIN,classical,full,True,0.42912835262210186,0.4488474017167891,0.03101409323096181,0.0
T-reg,7,2,RBF,classical,full,True,0.385775732603136,0.3983502613495109,0.03177263936729933,0.0
